City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Pinawa,CA,78.58,clear sky,50.1489,-95.8811,Pinawa Motel
363,Vao,NC,73.08,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
366,Dingle,PH,77.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
367,Kutum,SD,73.45,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
368,Sibolga,ID,76.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
369,Dogondoutchi,NE,84.09,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
372,Chaiya,TH,77.27,overcast clouds,9.3862,99.1986,JP Place
374,Patti,IN,80.67,overcast clouds,31.2808,74.8572,Karanjit singh shutter rolling industry
377,Bardiyah,LY,76.15,clear sky,31.7561,25.0865,بورتو بردية
379,Japura,ID,73.29,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
384,Mantua,IT,88.84,clear sky,45.1667,10.7833,Hotel la Favorita
388,Nata,PA,76.87,overcast clouds,8.3333,-80.5167,Rey David
391,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
392,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
393,Carauari,BR,89.28,broken clouds,-4.8828,-66.8958,Hotel Fellip
396,Soyo,AO,70.21,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
398,Gizo,SB,80.91,broken clouds,-8.103,156.8419,Imagination Island
403,Manga,BF,80.78,light rain,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
408,Diapaga,BF,81.01,overcast clouds,12.0708,1.7889,Hôtel GACILIE
411,Bontang,ID,79.07,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
412,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
413,Jabinyanah,TN,82.51,clear sky,35.035,10.9081,maison belmabrouk
418,Paracuru,BR,76.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
420,Tautira,PF,75.56,light rain,-17.7333,-149.15,Pension Oaoa
422,Katobu,ID,74.71,broken clouds,-4.9408,122.5276,La Ode Husein
427,Birnin Kebbi,NG,82.47,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
429,Cileungsi,ID,81.86,broken clouds,-6.3947,106.9592,villa berbagi indah
433,Beni Mazar,EG,84.63,clear sky,28.4962,30.8029,Link Co-Working space & Development center
434,Cockburn Town,TC,82.54,few clouds,21.4612,-71.1419,Osprey Beach Hotel
437,Doume,CM,70.88,overcast clouds,4.2333,13.45,Hotel Universel
438,Hengyang,CN,80.29,scattered clouds,26.8881,112.615,Honglin Guesthouse
451,Finschhafen,PG,77.72,few clouds,-6.6024,147.8681,Cossam Guest House
452,Linhares,BR,72.73,broken clouds,-19.3911,-40.0722,Hotel Conceição
453,Kosonsoy,UZ,75.76,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
454,Sassandra,CI,74.82,overcast clouds,4.95,-6.0833,la terrasse
455,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
456,Muli,MV,81.32,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
457,Abhar,IR,74.05,clear sky,36.1468,49.218,Hotel Got7
